"3","62"
"4","8"
"5","2"
"6","48"
"7","65"
"8","12"
"9","34"
"10","24"
"11","60"
"12","33"
"13","17"
"14","8"
"15","57"
"16","24"
"17","2"
"18","56"
"19","46"
"21","71"
"22","52"
"23","71"
"24","8"
"25","38"
"26","25"
"27","60"
"28","69"
"29","50"
"31","63"
"32","36"
"33","13"
"34","37"
"35","80"
"35","85"
"36","60"
"37","26"
"38","82"
"39","7"
"40","26"
"41","50"
"42","50"
"44","69"
"45","53"
"46","14"
"47","66"
"47","67"
"49","29"
"50","64"
"52","2"
"53","50"
"54","61"
"55","50"
"56","40"
"57","22"
"58","73"
"59","66"
"59","67"
"60","2"
"61","2"
"62","75"
"63","50"
"64","47"
"65","1"
"66","40"
"67","3"
"68","15"
"69","47"
"70","50"
"71","64"
"72","24"
"73","69"
"76","46"
"77","34"
"79","2"
"80","20"
"81","47"
"82","67"
"83","64"
"84","77"
"85","25"
"86","24"
"87","6"
"88","53"
"89","26"
"91","10"
"92","13"
"93","59"
"94","31"
"95","32"
"96","54"
"97","25"
"98","55"
"99","74"
"100","64"
"101","2"
"102","11"
"103","83"
"104","5"
"105","10"
"106","26"
"107","70"
"108","58"
"109","53"
"110","8"
"111","51"
"112","16"
"113","21"
"114","82"
"115","23"
"116","72"
"117","2"
"118","86"
"119","20"
"120","57"
"122","67"
"123","39"
"124","51"
"126","4"
"127","2"
"129","71"
"130","42"
"131","76"
"132","72"
"133","77"
"134","79"
"135","82"
"136","45"
"137","35"
"138","39"
"139","68"
"140","18"
"141","28"
"141","19"
"142","77"
"143","84"
"144","17"
"145","2"
"146","27"
"147","14"
"148","13"
"150","64"
"151","2"
"152","24"
"153","64"
"154","57"
"155","41"
"155","81"
"156","17"
"157","9"
"160","44"
"161","78"
"164","45"
"165","30"
"166","44"
"166","2"
"166","50"
"166","24"
"167","43"
"168","49"
