"1","24"
"1","10"
"1","17"
"1","19"
"2","20"
"2","26"
"3","20"
"4","26"
"5","13"
"6","20"
"6","17"
"6","1"
"7","15"
"8","17"
"8","9"
"9","6"
"10","17"
"11","15"
"12","6"
"13","20"
"13","23"
"14","26"
"14","17"
"15","15"
"15","14"
"16","7"
"17","2"
"18","2"
"18","20"
"19","21"
"20","26"
"20","3"
"20","5"
"20","1"
"21","5"
"22","13"
"22","15"
"23","2"
"23","12"
"24","14"
"24","17"
"25","6"
"26","24"
"26","10"
"27","8"
"27","5"
"28","26"
"28","5"
"29","7"
"30","3"
"30","5"
"31","20"
"31","26"
"31","17"
"32","17"
"33","20"
"33","12"
"34","15"
"35","26"
"35","5"
"36","15"
"37","20"
"38","17"
"39","5"
"40","20"
"40","21"
"40","5"
"41","7"
"42","7"
"43","2"
"44","3"
"45","10"
"45","17"
"45","11"
"46","2"
"47","3"
"47","19"
"47","5"
"48","16"
"48","26"
"48","15"
"48","10"
"48","5"
"49","17"
"49","5"
"50","7"
"51","26"
"51","18"
"51","3"
"51","10"
"52","7"
"53","7"
"54","17"
"55","25"
"55","5"
"56","7"
"57","7"
"58","17"
"59","5"
"60","2"
"60","5"
"61","15"
"61","14"
"62","17"
"63","7"
"64","7"
"65","2"
"66","7"
"67","12"
"67","17"
"68","14"
"69","15"
"69","5"
"69","1"
"70","5"
"71","7"
"72","22"
"73","3"
"74","26"
"74","18"
"74","3"
"74","10"
"74","5"
"75","20"
"75","24"
"76","6"
"77","6"
"78","5"
"79","7"
"80","15"
"81","7"
"82","2"
"83","26"
"84","8"
"85","24"
"85","1"
"86","2"
"86","18"
"87","15"
"87","14"
"88","5"
"89","20"
"90","3"
"91","10"
"92","2"
"92","20"
"93","5"
"94","15"
"95","17"
"96","7"
"97","17"
"97","11"
"98","13"
"99","17"
"100","7"
"101","9"
"102","17"
"103","21"
"104","10"
"105","10"
"106","20"
"107","5"
"108","5"
"109","17"
"110","6"
"111","17"
"112","2"
"112","20"
"112","23"
"113","24"
"113","17"
"113","1"
"114","7"
"115","26"
"115","3"
"115","1"
"116","16"
"116","18"
"117","7"
"118","9"
"119","6"
"120","12"
"121","17"
"122","21"
"123","6"
"124","13"
"125","26"
"125","3"
"125","10"
"125","5"
"126","20"
"126","3"
"126","5"
"127","22"
"128","26"
"129","21"
"130","3"
"131","25"
"131","5"
"132","8"
"133","14"
"134","20"
"134","24"
"135","7"
"136","3"
"136","1"
"137","15"
"137","5"
"138","20"
"138","13"
"138","23"
"139","20"
"139","16"
"139","23"
"140","24"
"140","10"
"141","10"
"141","5"
"142","22"
"143","20"
"143","26"
"143","23"
"144","23"
"145","2"
"145","18"
"146","17"
"147","15"
"147","19"
"148","2"
"148","20"
"149","5"
"150","13"
"151","7"
"151","5"
"152","17"
"153","26"
"153","3"
"154","8"
"155","3"
"155","5"
"156","14"
"156","23"
"157","2"
"158","5"
"159","5"
"160","17"
"161","17"
"162","20"
"162","3"
"163","26"
"163","3"
"163","10"
"163","5"
"164","20"
"164","19"
"165","20"
"165","26"
"165","23"
"166","4"
"167","20"
"167","7"
"168","17"
